# SYNTHETIQUE - donnees fiscales entierement FICTIVES, generees
# aleatoirement (seed=42), AUCUN lien avec de vraies declarations
# DGI. Demontre le mecanisme de croisement marches<->fiscal par nom
# d'entreprise normalise, ne le valide pas. Voir
# scripts/generate_fiscal_reference.py.
company_id,company_normalized_name,annee_declaration,chiffre_affaires_declare_dhs,resultat_net_declare_dhs,taux_imposition_effectif,source
117,PERFECT COM TF,2024,1647000.0,217300.0,0.217,SYNTHETIQUE_DEMO_PAS_DGI
128,TE EN DIRHAM TTC,2024,1186000.0,43700.0,0.233,SYNTHETIQUE_DEMO_PAS_DGI
13,PRESTATAIRE RETENU MONTANT DE L ACTE D ENGAGEMENT EN DH TTC GROUPEMENT IRADA VENTURE & AKLIM,2024,1299000.0,163800.0,0.122,SYNTHETIQUE_DEMO_PAS_DGI
20,IBECOM,2023,3756000.0,530900.0,0.129,SYNTHETIQUE_DEMO_PAS_DGI
66,DONT L OFFRE EST LA PLUS AVANTAGEUSE - SOCIETE BIRG SARL AU POUR UN MONTANT DE,2023,3074000.0,377000.0,0.188,SYNTHETIQUE_DEMO_PAS_DGI
56,CENCURRENTS - ! SAYTECK,2022,3254000.0,370200.0,0.303,SYNTHETIQUE_DEMO_PAS_DGI
69,E GRP SEAT & E A TRAVAUX -MEKNES,2022,3325000.0,434100.0,0.225,SYNTHETIQUE_DEMO_PAS_DGI
122,SKO RID SARL - OFFRE DE BASE,2022,25906000.0,902000.0,0.296,SYNTHETIQUE_DEMO_PAS_DGI
91,_ _ C ONCURRENT RCTENU,2022,1217000.0,66000.0,0.269,SYNTHETIQUE_DEMO_PAS_DGI
149,KIT MED SLAOUI ET CIE,2023,1072000.0,48200.0,0.198,SYNTHETIQUE_DEMO_PAS_DGI
168,COMMUNE DCHEIRA JIHADIA TEL/FAX 0528-83-62-11,2024,747000.0,67600.0,0.265,SYNTHETIQUE_DEMO_PAS_DGI
190,SETRAGEC - OFFRE DE BASE,2024,4152000.0,495800.0,0.104,SYNTHETIQUE_DEMO_PAS_DGI
12,SUR LA BASE DU PRIX DE REFERENCE ARRETE A,2023,7685000.0,811500.0,0.123,SYNTHETIQUE_DEMO_PAS_DGI
54,DONT L OFFRE EST LA PLUS AVANTAGEUSE - SOCIETE ALHAYAT TEC SARL POUR UN MONTANT,2024,1729000.0,228500.0,0.274,SYNTHETIQUE_DEMO_PAS_DGI
76,ALL MTGI OFFRE,2024,723000.0,35200.0,0.267,SYNTHETIQUE_DEMO_PAS_DGI
88,SANS RESERVE STE BAHI NAJIB JTTOPO ET MAPPING ENGINEERING,2024,737000.0,87100.0,0.149,SYNTHETIQUE_DEMO_PAS_DGI
97,ALMO JARDIN,2023,4328000.0,230100.0,0.211,SYNTHETIQUE_DEMO_PAS_DGI
130,ACHRAF SPORT,2022,4837000.0,302300.0,0.227,SYNTHETIQUE_DEMO_PAS_DGI
178,SOUSSTHERME,2024,3805000.0,438300.0,0.282,SYNTHETIQUE_DEMO_PAS_DGI
31,TCN,2022,892000.0,131700.0,0.227,SYNTHETIQUE_DEMO_PAS_DGI
45,BOUFATHE TRAVAUX,2023,2620000.0,270900.0,0.187,SYNTHETIQUE_DEMO_PAS_DGI
188,FY2 GROUP,2022,2281000.0,83300.0,0.179,SYNTHETIQUE_DEMO_PAS_DGI
7,NEXT ETUDES,2024,2578000.0,268000.0,0.189,SYNTHETIQUE_DEMO_PAS_DGI
96,SONAROUZ,2023,5642000.0,197900.0,0.237,SYNTHETIQUE_DEMO_PAS_DGI
99,HOLDING AL BARAKA,2022,2593000.0,352900.0,0.282,SYNTHETIQUE_DEMO_PAS_DGI
164,EN DHTTC BAUENER,2022,4478000.0,515600.0,0.195,SYNTHETIQUE_DEMO_PAS_DGI
11,ME PREFA,2023,2150000.0,109200.0,0.152,SYNTHETIQUE_DEMO_PAS_DGI
72,SEKERA SERVICES,2023,2805000.0,115000.0,0.15,SYNTHETIQUE_DEMO_PAS_DGI
102,ALI OUBANE TRAVAUX,2024,4229000.0,220000.0,0.257,SYNTHETIQUE_DEMO_PAS_DGI
154,BEDASER SARL AU 3767 953 67,2022,345000.0,50900.0,0.271,SYNTHETIQUE_DEMO_PAS_DGI
127,SOCIETELNTERLLNK DLSTRIB TTION,2024,1351000.0,114900.0,0.122,SYNTHETIQUE_DEMO_PAS_DGI
22,LA MAROCAINE D ASSAINISSEMENT ET,2023,1128000.0,140000.0,0.114,SYNTHETIQUE_DEMO_PAS_DGI
172,SALSABILE SERVICE GROUPE,2024,921000.0,98000.0,0.225,SYNTHETIQUE_DEMO_PAS_DGI
175,APPEL D OFFRE INFRUCTUEUX,2022,1425000.0,140600.0,0.131,SYNTHETIQUE_DEMO_PAS_DGI
47,RACHAD ISTITMAR,2022,11922000.0,565300.0,0.273,SYNTHETIQUE_DEMO_PAS_DGI
25,L OFFRE RETENUE DU LOT PLIS COMMISSION (DH),2022,702000.0,100800.0,0.165,SYNTHETIQUE_DEMO_PAS_DGI
166,SUPER AUTO DISTRIBUTION,2023,6337000.0,419300.0,0.13,SYNTHETIQUE_DEMO_PAS_DGI
16,COSTACOM,2024,263000.0,26100.0,0.293,SYNTHETIQUE_DEMO_PAS_DGI
89,LABORATOIRE GEOTECHNIQUE ET TRAVAUX PUBLICS,2022,1327000.0,151200.0,0.135,SYNTHETIQUE_DEMO_PAS_DGI
165,LUCERNA TRAVAUX,2023,2410000.0,260100.0,0.16,SYNTHETIQUE_DEMO_PAS_DGI
62,D ENGAGEMENT AVANT D ENGAGEMENTS RECTIFIES,2022,4007000.0,572500.0,0.132,SYNTHETIQUE_DEMO_PAS_DGI
65,ENTREPRISE OUENZAR,2024,4655000.0,222600.0,0.124,SYNTHETIQUE_DEMO_PAS_DGI
134,DRAEMEN,2024,5137000.0,467500.0,0.104,SYNTHETIQUE_DEMO_PAS_DGI
144,EL6 INNOVATIVE BUILDING SOLUTIONS,2024,1305000.0,102400.0,0.112,SYNTHETIQUE_DEMO_PAS_DGI
159,1 SOCIETE PLANET PROJECT,2024,1138000.0,98900.0,0.137,SYNTHETIQUE_DEMO_PAS_DGI
198,NORD STAR SERVICES,2023,5551000.0,245900.0,0.111,SYNTHETIQUE_DEMO_PAS_DGI
10,SEN,2024,1576000.0,72600.0,0.224,SYNTHETIQUE_DEMO_PAS_DGI
55,ENDESO SERVICE,2022,429000.0,27200.0,0.243,SYNTHETIQUE_DEMO_PAS_DGI
67,OMIC PLASTIQUE ET FERRAILLE,2024,509000.0,33900.0,0.183,SYNTHETIQUE_DEMO_PAS_DGI
93,E LA SOCIETE VADEQ DISTRIBUTION SARL AVEC UN MONTANT SIX MILLE CINQ CENTS DIRHAMS (,2024,658000.0,53500.0,0.167,SYNTHETIQUE_DEMO_PAS_DGI
120,SS5K GARDIENNAGE - OFFRE DE BASE,2024,3601000.0,372000.0,0.206,SYNTHETIQUE_DEMO_PAS_DGI
63,SARSAR,2023,2352000.0,249700.0,0.284,SYNTHETIQUE_DEMO_PAS_DGI
82,SEMH,2024,4541000.0,360600.0,0.279,SYNTHETIQUE_DEMO_PAS_DGI
131,L OFFRE RETENUE 01/2023/ECI G 22/12/2023 A 10H00 MIN 27/12/2023 GROUPEMENT ENTRE,2023,1187000.0,93800.0,0.109,SYNTHETIQUE_DEMO_PAS_DGI
137,ZAMANE EL KHEIR ET RT NEGOCE,2022,2398000.0,134600.0,0.138,SYNTHETIQUE_DEMO_PAS_DGI
52,LORS DE L EXAMEN DES OFFRES TECHNIQUES,2024,4200000.0,422500.0,0.15,SYNTHETIQUE_DEMO_PAS_DGI
94,GROUP OUMOUJANE TRAVAUX/SOMADICAT TRAVAUX,2022,1368000.0,93100.0,0.152,SYNTHETIQUE_DEMO_PAS_DGI
24,ELESI,2022,3430000.0,117700.0,0.22,SYNTHETIQUE_DEMO_PAS_DGI
34,EQUIPERF SARL RESIDENCE DALIA AV YACOUB EL MANSOUR -I1-APP6 MARRAKECH ®,2023,896000.0,71900.0,0.187,SYNTHETIQUE_DEMO_PAS_DGI
86,TMONTANT DES ACTES,2022,1283000.0,111500.0,0.11,SYNTHETIQUE_DEMO_PAS_DGI
113,SGIAT,2024,1254000.0,71600.0,0.178,SYNTHETIQUE_DEMO_PAS_DGI
160,- SOCIETE DEMAIN VERT,2023,472000.0,46600.0,0.21,SYNTHETIQUE_DEMO_PAS_DGI
3,TP HORIZON,2022,3557000.0,348200.0,0.121,SYNTHETIQUE_DEMO_PAS_DGI
194,ZAID S PRO COMPANY,2024,1129000.0,129000.0,0.275,SYNTHETIQUE_DEMO_PAS_DGI
148,L- FIZAZI & ASSOCIES,2023,2013000.0,216900.0,0.111,SYNTHETIQUE_DEMO_PAS_DGI
161,_ SOCIETE AMARZA,2022,3530000.0,382300.0,0.294,SYNTHETIQUE_DEMO_PAS_DGI
46,D EXPLOITATION DES,2024,3388000.0,230200.0,0.121,SYNTHETIQUE_DEMO_PAS_DGI
68,P 1 _ _ ° BOLIGAM - OFFRE DE BASE,2023,4406000.0,548500.0,0.277,SYNTHETIQUE_DEMO_PAS_DGI
163,MY GREEN NEGOCE,2022,1762000.0,169000.0,0.29,SYNTHETIQUE_DEMO_PAS_DGI
6,IMS TECHNOLOGY TF,2024,1193000.0,97600.0,0.306,SYNTHETIQUE_DEMO_PAS_DGI
57,SUR BASE LE PRIX REFERENCE,2023,1802000.0,189400.0,0.268,SYNTHETIQUE_DEMO_PAS_DGI
79,RK WORK,2024,262000.0,19200.0,0.264,SYNTHETIQUE_DEMO_PAS_DGI
108,SOKIDAM BTP,2024,349000.0,31900.0,0.235,SYNTHETIQUE_DEMO_PAS_DGI
119,ILYA BATIMENT,2023,405000.0,48000.0,0.264,SYNTHETIQUE_DEMO_PAS_DGI
146,MAJD TRAVAUX FORESTIER,2024,599000.0,81700.0,0.128,SYNTHETIQUE_DEMO_PAS_DGI
155,POUR LE LOT N° 1 LA SOCIETE ZED S AVEC UN MONTANT DE NEUF MILLIONS DEUX CENT SOIXANTE-DEUX MILLE NEUF CENT QUATRE DIRHAMS ET QUARANTE CENTIMES (,2022,3203000.0,450100.0,0.213,SYNTHETIQUE_DEMO_PAS_DGI
133,SANS RESERVE RIFL BIOMETRICS TRAFFITEC ET RPR,2022,669000.0,60500.0,0.208,SYNTHETIQUE_DEMO_PAS_DGI
111,SUPER GUARD,2023,1259000.0,116400.0,0.28,SYNTHETIQUE_DEMO_PAS_DGI
1,DANY D ESSAIS ET ETUDES,2024,9427000.0,1187700.0,0.197,SYNTHETIQUE_DEMO_PAS_DGI
43,OCIETE SJ2T -,2023,1293000.0,87600.0,0.181,SYNTHETIQUE_DEMO_PAS_DGI
104,JUGE INFRUCTUEUX,2023,4804000.0,626900.0,0.234,SYNTHETIQUE_DEMO_PAS_DGI
187,BET SG CONCEPT,2024,647000.0,57800.0,0.156,SYNTHETIQUE_DEMO_PAS_DGI
64,E LOTN°1,2024,1550000.0,68000.0,0.129,SYNTHETIQUE_DEMO_PAS_DGI
118,CHAFIQ BUSINESS,2024,634000.0,24500.0,0.2,SYNTHETIQUE_DEMO_PAS_DGI
142,A SOCIETE LE PALAIS D AMENAGEMENT,2022,1320000.0,173000.0,0.188,SYNTHETIQUE_DEMO_PAS_DGI
199,NET SERVICES INFORMATIQUE & BUREAUTIQUE,2024,5435000.0,199300.0,0.149,SYNTHETIQUE_DEMO_PAS_DGI
36,NOVEC,2023,250000.0,15900.0,0.177,SYNTHETIQUE_DEMO_PAS_DGI
83,ADMIRAL DIGITAL CONSULTING,2023,3339000.0,234000.0,0.177,SYNTHETIQUE_DEMO_PAS_DGI
129,E LA SOCIETE STE MENUISERIE ELARGOUBI AVEC UN MONTANT TROIS CENT CINQUANTE ET UN MILLE TROIS CENT TRENTE-SIX DIRHAMS (,2023,2637000.0,133900.0,0.169,SYNTHETIQUE_DEMO_PAS_DGI
179,SAJI ASSURANCE 392 4,2022,972000.0,65800.0,0.18,SYNTHETIQUE_DEMO_PAS_DGI
193,GROUPE CM DES TRAVAUX ET SERVICES,2022,350000.0,41700.0,0.244,SYNTHETIQUE_DEMO_PAS_DGI
38,STEALKHABIQINGENIERIE,2023,2162000.0,68700.0,0.162,SYNTHETIQUE_DEMO_PAS_DGI
147,FINATECH SYSTEMS TF,2024,1050000.0,135700.0,0.299,SYNTHETIQUE_DEMO_PAS_DGI
186,SEDERAM - OFFRE DE BASE,2024,2621000.0,348000.0,0.292,SYNTHETIQUE_DEMO_PAS_DGI
80,GROUP ATNER / LANTANIA - OFFRE DE,2022,2035000.0,152000.0,0.201,SYNTHETIQUE_DEMO_PAS_DGI
44,LABORATOIRE D EXPERTISES D ETUDES ET D ESSAIS L3E,2024,13553000.0,656400.0,0.169,SYNTHETIQUE_DEMO_PAS_DGI
78,PROTOTECH -,2022,1488000.0,151900.0,0.212,SYNTHETIQUE_DEMO_PAS_DGI
197,DEPASSE LES CREDITS BUDGETAIRES ALLOUES,2024,581000.0,25800.0,0.278,SYNTHETIQUE_DEMO_PAS_DGI
53,OFFRES CONFORMES MOINS DISANTES,2023,2459000.0,181500.0,0.237,SYNTHETIQUE_DEMO_PAS_DGI
116,AKLIM,2023,2582000.0,374400.0,0.269,SYNTHETIQUE_DEMO_PAS_DGI
124,- STE OUZEMBUS SARL 107 BD EL MOUTANABI BENI MELLAL,2024,10130000.0,1514000.0,0.212,SYNTHETIQUE_DEMO_PAS_DGI
192,CONEURRENT MONTANT DE L ACTE D ENGAGEMENT,2023,5401000.0,662400.0,0.233,SYNTHETIQUE_DEMO_PAS_DGI
4,TRANZDI,2024,3043000.0,204800.0,0.161,SYNTHETIQUE_DEMO_PAS_DGI
29,PROMAMEC _,2023,11478000.0,1291500.0,0.254,SYNTHETIQUE_DEMO_PAS_DGI
81,TRANSITLOOP,2024,476000.0,54600.0,0.143,SYNTHETIQUE_DEMO_PAS_DGI
126,ETM INGENIERIE,2023,920000.0,70400.0,0.246,SYNTHETIQUE_DEMO_PAS_DGI
162,PAGE 2 SUR 4,2022,652000.0,69700.0,0.281,SYNTHETIQUE_DEMO_PAS_DGI
189,FRERES PROJETS,2024,1242000.0,38900.0,0.128,SYNTHETIQUE_DEMO_PAS_DGI
140,WAFA LLD,2023,380000.0,20900.0,0.229,SYNTHETIQUE_DEMO_PAS_DGI
141,AO00 INTERNATIONAL N°19/2025/KH 2,2023,4249000.0,395200.0,0.12,SYNTHETIQUE_DEMO_PAS_DGI
157,FIX IT SOLUTION,2022,1519000.0,75400.0,0.252,SYNTHETIQUE_DEMO_PAS_DGI
103,ATELIERS INDUSTRIELS CHERIFIEN,2022,339000.0,16900.0,0.118,SYNTHETIQUE_DEMO_PAS_DGI
115,BCT QUALICONSULT CONSTRUCTION MAROC,2023,586000.0,76400.0,0.297,SYNTHETIQUE_DEMO_PAS_DGI
151,G-RESA DIVERS,2022,2888000.0,429400.0,0.129,SYNTHETIQUE_DEMO_PAS_DGI
191,TANSIFT CONTRACTOR DIRECTR•CE,2024,5421000.0,524300.0,0.301,SYNTHETIQUE_DEMO_PAS_DGI
106,TANGER CONSOMABLE,2024,21771000.0,2845200.0,0.268,SYNTHETIQUE_DEMO_PAS_DGI
158,- TOUAMI HAMDI BVD HASSAN II - AZILAL,2024,65439000.0,9739800.0,0.225,SYNTHETIQUE_DEMO_PAS_DGI
85,SMYBAM,2024,3260000.0,153200.0,0.264,SYNTHETIQUE_DEMO_PAS_DGI
196,E LA SOCIETE HOWARA TECHNOLOGIE AVEC UN MONTANT QUARANTE-ET-UN MILLE SIX CENT HUIT DIRHAMS ET QUATRE-VINGTS CENTIMES (,2023,605000.0,50700.0,0.267,SYNTHETIQUE_DEMO_PAS_DGI
74,DEFINITIF ETS AIT BENNANI,2022,154000.0,11900.0,0.299,SYNTHETIQUE_DEMO_PAS_DGI
145,ARCHIVOM ETASKI,2023,2734000.0,108300.0,0.153,SYNTHETIQUE_DEMO_PAS_DGI
182,AEBDM TF,2023,747000.0,90100.0,0.224,SYNTHETIQUE_DEMO_PAS_DGI
185,• SOCIETE NOVABEQ NEGOCE SISE A AGADIR,2024,1204000.0,98800.0,0.12,SYNTHETIQUE_DEMO_PAS_DGI
18,D OUVERTURE DES PLIS DES TRAVAUX DE RETENUE,2022,951000.0,82100.0,0.229,SYNTHETIQUE_DEMO_PAS_DGI
59,AKLIM SARL UN MONTANT,2023,1675000.0,80500.0,0.136,SYNTHETIQUE_DEMO_PAS_DGI
70,OBSERVATIONS DU LOT N° 25-62 TAZART - ENNAKHIL,2023,7125000.0,368400.0,0.219,SYNTHETIQUE_DEMO_PAS_DGI
180,LE PALAIS D AMENAGEMEN,2022,2394000.0,332400.0,0.22,SYNTHETIQUE_DEMO_PAS_DGI
2,SOLUTIONS PROFESSIONNELLES GENIE CIVIL,2022,1639000.0,58000.0,0.198,SYNTHETIQUE_DEMO_PAS_DGI
23,MARONET,2023,572000.0,33100.0,0.21,SYNTHETIQUE_DEMO_PAS_DGI
100,E POURLELOT N°1,2022,266000.0,17300.0,0.26,SYNTHETIQUE_DEMO_PAS_DGI
136,SANS RESERVE CHRONOTECH,2022,1106000.0,98200.0,0.268,SYNTHETIQUE_DEMO_PAS_DGI
171,INEOS TF,2023,1859000.0,186600.0,0.203,SYNTHETIQUE_DEMO_PAS_DGI
39,CANDIDAT MONTANT,2022,16544000.0,1475600.0,0.226,SYNTHETIQUE_DEMO_PAS_DGI
8,MAROC BUREAU 1191 0,2023,2318000.0,92900.0,0.296,SYNTHETIQUE_DEMO_PAS_DGI
90,- DECLARATION L APPEL OFFRE INFERCTAUX,2022,6448000.0,382000.0,0.125,SYNTHETIQUE_DEMO_PAS_DGI
17,• SOCIETE AGRI INVEST DEVELOPMENT SARL SISE A AGADIR,2022,1089000.0,142900.0,0.125,SYNTHETIQUE_DEMO_PAS_DGI
150,- STE CITETRA SARL DOUAR TALHA CT TAMDA NOUMERCID AZILAL,2023,478000.0,50900.0,0.118,SYNTHETIQUE_DEMO_PAS_DGI
84,STF GEO SONI)A BARHDAI)I,2024,623000.0,67200.0,0.238,SYNTHETIQUE_DEMO_PAS_DGI
87,CLASSEMENT SOCIETE MAIRAV,2023,830000.0,91700.0,0.188,SYNTHETIQUE_DEMO_PAS_DGI
109,-STE COSA INFO SARL 153 BD MOTANABI BENI MELLAL,2024,25499000.0,3099400.0,0.263,SYNTHETIQUE_DEMO_PAS_DGI
153,L 10 MASTERLAB,2023,740000.0,27400.0,0.241,SYNTHETIQUE_DEMO_PAS_DGI
35,HYDROLIQUE ET ELECTRIQUE -,2023,5423000.0,401300.0,0.17,SYNTHETIQUE_DEMO_PAS_DGI
71,SIGMA TECHNOLOGIES,2023,671000.0,63600.0,0.289,SYNTHETIQUE_DEMO_PAS_DGI
121,E STE BEDASER,2024,6064000.0,428200.0,0.26,SYNTHETIQUE_DEMO_PAS_DGI
177,MATITRAVE,2024,3147000.0,413300.0,0.157,SYNTHETIQUE_DEMO_PAS_DGI
200,E STE ENGINEERING OF MASTERY AND PERFECTION AVEC UN MONTANT DE CMG CCNT VMG MG MILLE DLRHAMS (,2024,1643000.0,144400.0,0.176,SYNTHETIQUE_DEMO_PAS_DGI
27,APRES TIRAGE AU SORT,2024,1888000.0,230800.0,0.166,SYNTHETIQUE_DEMO_PAS_DGI
41,CENTRALE MAROCAINE D ASSURANCES,2023,904000.0,119500.0,0.133,SYNTHETIQUE_DEMO_PAS_DGI
169,SUD BTP,2023,3386000.0,306700.0,0.131,SYNTHETIQUE_DEMO_PAS_DGI
19,HASSAN TECH,2024,1149000.0,159900.0,0.297,SYNTHETIQUE_DEMO_PAS_DGI
60,BUREAU MAROCAIN DES ETUDES ET EXPERTISES BMEE,2022,456000.0,45800.0,0.192,SYNTHETIQUE_DEMO_PAS_DGI
135,MORITANT MAX DE L ACTE LAHCEN ELLOUZY 1285 0,2023,428000.0,56500.0,0.18,SYNTHETIQUE_DEMO_PAS_DGI
33,ELECTRIKLIM,2024,2439000.0,172900.0,0.253,SYNTHETIQUE_DEMO_PAS_DGI
98,NEGOCE DIVERS,2023,13189000.0,1185100.0,0.216,SYNTHETIQUE_DEMO_PAS_DGI
107,MAROC INGENOV,2022,2402000.0,225200.0,0.297,SYNTHETIQUE_DEMO_PAS_DGI
125,NEWERACOM 27 JUILLET 2026 17 AOUT 2026,2023,1720000.0,73300.0,0.264,SYNTHETIQUE_DEMO_PAS_DGI
139,STWERGY MAROC,2022,2794000.0,217400.0,0.201,SYNTHETIQUE_DEMO_PAS_DGI
174,ELECTRONICAL ENGINEERING,2024,9504000.0,1331300.0,0.179,SYNTHETIQUE_DEMO_PAS_DGI
181,DABALAB,2024,2580000.0,272700.0,0.307,SYNTHETIQUE_DEMO_PAS_DGI
152,BRICO FIRST SERVICES,2022,1211000.0,62100.0,0.251,SYNTHETIQUE_DEMO_PAS_DGI
26,SANS RESERVE LABOTEST ET LPEE,2023,7479000.0,528500.0,0.3,SYNTHETIQUE_DEMO_PAS_DGI
50,ONCURRENT REFENU ] MONTANTS DE PACTE D ENGAGEMENT,2024,3317000.0,175800.0,0.125,SYNTHETIQUE_DEMO_PAS_DGI
51,• SOCIETE ADV MAROC SARL SISE A AGADIR,2024,12521000.0,412900.0,0.279,SYNTHETIQUE_DEMO_PAS_DGI
143,BEST LABOR,2022,2470000.0,349000.0,0.234,SYNTHETIQUE_DEMO_PAS_DGI
195,SOCIETES MONTANT DE L ACTE D ENGAGEMENT,2023,456000.0,38200.0,0.126,SYNTHETIQUE_DEMO_PAS_DGI
61,BENFORD,2023,384000.0,25700.0,0.224,SYNTHETIQUE_DEMO_PAS_DGI
112,TECTRA,2023,14377000.0,1463800.0,0.244,SYNTHETIQUE_DEMO_PAS_DGI
58,• STE INVESTINO SARL SISE A AGADIR,2022,15688000.0,484400.0,0.103,SYNTHETIQUE_DEMO_PAS_DGI
28,BIGC,2022,1599000.0,101300.0,0.195,SYNTHETIQUE_DEMO_PAS_DGI
30,HIBAZINE E,2024,1252000.0,143200.0,0.273,SYNTHETIQUE_DEMO_PAS_DGI
101,AUTELEB,2022,11453000.0,1214600.0,0.162,SYNTHETIQUE_DEMO_PAS_DGI
132,TELEPAC TECHNOLOGY,2022,525000.0,77600.0,0.196,SYNTHETIQUE_DEMO_PAS_DGI
138,ALIANCE HOLDING,2022,678000.0,70800.0,0.193,SYNTHETIQUE_DEMO_PAS_DGI
167,MAROCAINE DES,2022,4291000.0,374600.0,0.163,SYNTHETIQUE_DEMO_PAS_DGI
173,BRAIN MANAGEMENT,2022,1235000.0,149900.0,0.293,SYNTHETIQUE_DEMO_PAS_DGI
37,CLEAN TECH - OFFRE DE BASE,2023,1971000.0,272800.0,0.264,SYNTHETIQUE_DEMO_PAS_DGI
170,MAILL PRINT SARL 17S 284 48 DHS TTC,2024,1630000.0,189900.0,0.123,SYNTHETIQUE_DEMO_PAS_DGI
