# Table de correspondance sigle -> raison sociale complete.
#
# POURQUOI CE FICHIER EXISTE
# La table `companies` ne contient que ce que le PV imprime, souvent un
# sigle ("NOVEC", "SGIAT", "TFC"). Ce fichier lui associe la raison sociale
# complete, verifiee a la main.
#
# LA COLONNE QUI COMPTE : `confirme_dans_le_document`
# Une recherche web repond a "ce nom existe-t-il ?". La question qui compte
# est "CE document parle-t-il de cette entreprise ?". Les deux ne coincident
# pas toujours, et l'ecart peut fabriquer une accusation :
#
#   TFC : "Les Travaux de Fluide de Casablanca" existe reellement. Mais dans
#   le seul document du corpus ou "TFC" apparait (91c4c9e17fc3), c'est
#   l'en-tete de colonne "Montant TTC" mal lu par l'OCR — le vrai
#   attributaire est LA MAROCAINE D'ASSAINISSEMENT ET D'ENVIRONNEMENT,
#   ligne suivante, 650 880 MAD. Rattacher ce marche a TFC Casablanca sur la
#   foi du web aurait credite une entreprise reelle d'un marche auquel elle
#   n'a jamais soumissionne, avec un score de risque a cote.
#
# REGLE : `oui` exige d'avoir OUVERT le PDF source et vu le nom. Une
# correspondance web seule reste `a_verifier` et n'est PAS affichee comme
# un fait par le dashboard. `non` = piege identifie, ne jamais rattacher.
#
# Genere/complete a la main. Colonnes :
#   normalized_name  la cle exacte de companies.normalized_name
#   nom_corrige      nom de remplacement quand le libelle extrait est
#                    inutilisable comme identite mais contient un nom lisible.
#                    Applique par database/crud/companies.py AVANT la
#                    normalisation. Vide dans la quasi-totalite des cas.
#   nom_complet      la raison sociale, ou vide si non etabli
#   ville            si connue
#   source_url       d'ou vient l'information
#   confirme_dans_le_document  oui | non | a_verifier
#   verifie_le       AAAA-MM-JJ
#   notes            tout ce qui a surpris
normalized_name,nom_complet,nom_corrige,ville,source_url,confirme_dans_le_document,verifie_le,notes
ARTHUR D LITTLE MOROCCO,ARTHUR D. LITTLE MOROCCO (conseil en strategie),,Casablanca,https://www.charika.ma/societe-arthur-d-little-morocco-1247812,a_verifier,2026-08-27,Filiale marocaine du plus ancien cabinet de conseil en strategie au monde (fonde en 1886). Deux associes au Maroc ; Matteo Ainardi est managing partner France-Maroc depuis 2024. Le nom en base porte 'RECTIFICATION' en tete dans le texte brut — residu d'en-tete de tableau.
ATELIERS INDUSTRIELS CHERIFIEN,"A.I.C. — Ateliers Industriels Cherifiens SA (signalisation, enseignes)",,Kenitra,https://www.charika.ma/societe-ste-ateliers-industriels-cherifiens-19159,a_verifier,2026-08-27,"Zone industrielle Bir Rami, Kenitra (siege) + succursale Casablanca. Fondee en 1957. Signalisation routiere, enseignes lumineuses, communication visuelle. aic-signalisation.ma."
ATLAS HANDASSA SARL STE AMICALE DES TRAVAUX DE POINTE,Groupement ATLAS HANDASSA SARL + STE AMICALE DES TRAVAUX DE POINTE SARL,,,,oui,2026-08-27,"[NOM COMPLETE DEPUIS LA LISTE DES CONCURRENTS DU PV] Le PV confirme le second membre : 'STE AMICALE DES TRAVAUX DE POINTE SARL'. NON TROUVEE. Groupement de deux entites ('ATLAS HANDASSA' + 'STE AMICALE DES TRAVAUX DE POINTE'), non scinde par split_groupement faute du mot GROUPEMENT dans la valeur nettoyee. Aucune des deux n'est identifiable ; 'handassa' signifie ingenierie."
AUTELEB,AUTELEB SARL (stations de pompage eau potable et assainissement),,Fes (Bensouda),https://auteleb.com/,a_verifier,2026-08-27,"PRESOMPTION FORTE : 15+ ans d'experience, ISO 9001:2015, et une clientele explicitement PUBLIQUE — ONEE-BO, AMENDIS, RADEEF, RADEETA, APDN. Reseaux electriques BT/MT, eclairage public, pompage eau potable et eaux usees. 100 hay Esseka, Bensouda, Fes."
AUTO HALL-S,AUTO HALL SA (distribution automobile multimarque),,Casablanca,https://fr.wikipedia.org/wiki/Auto_Hall,a_verifier,2026-08-27,"Groupe centenaire cote a la Bourse de Casablanca depuis 1942 (origine : etablissements Gabriel Veyre, 1907 ; Auto Hall SA en 1920). 64 av. Lalla Yacout, Casablanca. Plus de 16 marques : Ford, Nissan, Mitsubishi, Dongfeng, camions Fuso, plus mines, TP et agriculture. Le '-S' du nom extrait est un artefact OCR."
BAHI NAJIB JTTOPO ET MAPPING ENGINEERING,Groupement BAHI NAJIB + JTTOPO + MAPPING ENGINEERING,,Temara / Rabat,https://bahinajib.ma/,a_verifier,2026-08-27,"STE BAHI NAJIB SARL : Temara, Rabat. Etudes d'ingenieur geometre topographe depuis 13 ans, RC 89867, ICE 001434149000086. Photogrammetrie par drone, leves 3D, modelisation BIM, mobile mapping (Leica Pegasus TRK500). Un groupement de topographes est coherent avec les deux autres noms. 'JTTOPO' et 'MAPPING ENGINEERING' non identifies separement."
BAUENER,"BAUENER (ingenierie, lots techniques, CVC/fluides)",,Sale,https://bauener.com/,a_verifier,2026-08-27,"Immatriculee le 10/04/2018, n 3658957. Issue de la fusion de professionnels des lots techniques et de l'architecture. Travaux, import-export et bureau d'etudes techniques (maitrise d'oeuvre, suivi de chantier)."
BCT QUALICONSULT CONSTRUCTION MAROC,QUALICONSULT CONSTRUCTION MAROC (bureau de controle technique),,Casablanca,https://www.charika.ma/societe-qualiconsult-construction-maroc-94378,a_verifier,2026-08-27,"Casablanca Business Center, Sidi Maarouf. Presente au Maroc depuis 2009, 4 agences, 30+ salaries. Groupe francais cree en 1982. 'BCT' = Bureau de Controle Technique : un prefixe SIGNIFIANT, pas du bruit — c'est l'un des cas qui justifient de ne pas retirer les sigles de tete."
BEDASER,STE BEDASER SARL AU,,,,oui,2026-08-27,"[NOM COMPLETE DEPUIS LA LISTE DES CONCURRENTS DU PV] NON TROUVEE sur le web (recherche 27/08/2026). Marches remportes : forage a Taroudannt, amenagement centre d'estivage FOSTP (3 806 759 DH). 1re du classement de risque."
BENFORD,La Societe BENFORD SARL AU,,,,oui,2026-08-27,"[NOM COMPLETE DEPUIS LA LISTE DES CONCURRENTS DU PV] NON TROUVEE. Extrait du brut 'La Societe BENFORD SARL AU' — le nom est bien celui imprime. Homonyme d'une marque britannique d'engins de chantier (Benford Ltd), sans lien etabli."
BEST LABOR,LA SOCIETE BEST LABOR SARL AU,,,,oui,2026-08-27,"[NOM COMPLETE DEPUIS LA LISTE DES CONCURRENTS DU PV] NON TROUVEE, y compris en ciblant le secteur du travail temporaire. 'BEST PROFIL' (interim, Casablanca, fondee en 1996) est proche mais distincte."
BET SG CONCEPT,BET SG CONCEPT,,Bouznika,https://www.betsgbatiment.com/,oui,2026-08-27,"[NOM COMPLETE DEPUIS LA LISTE DES CONCURRENTS DU PV] Le PV ecrit bien 'BET SG CONCEPT' : le rapprochement avec 'BET SG BATIMENT' (Bouznika) trouve sur le web est donc ECARTE — ce sont deux entites. RAPPROCHEMENT FAIBLE : 'BET SG BATIMENT' existe (bureau d'etudes agree, Bouznika, fondee en 2011, structure/VRD/CVC/securite incendie) mais le nom differe — 'CONCEPT' vs 'BATIMENT'. Le prefixe BET (Bureau d'Etudes Techniques) est en revanche coherent. NE PAS rattacher sans le PDF."
BIGC,"BIGC (ingenierie, bureau d'etudes)",,Marrakech (Menara),https://www.charika.ma/societe-bigc-285448,a_verifier,2026-08-27,"Appt 9, 160 lot Saada, Islane 3, Menara. Ingenierie, bureau d'etudes, gestion d'exploitations commerciales/industrielles/agricoles."
BIRG,Societe BIRG SARL AU,,,,oui,2026-08-27,"[NOM COMPLETE DEPUIS LA LISTE DES CONCURRENTS DU PV] NON TROUVEE. Extrait du brut 'SOCIETE BIRG SARL AU' (doc avec phrase de justification) — le nom est donc bien celui imprime, mais aucune fiche au registre."
BOLIGAM,BOLIGAM,,,,oui,2026-08-27,[NOM COMPLETE DEPUIS LA LISTE DES CONCURRENTS DU PV] Nom confirme tel quel par le PV. NON TROUVEE (recherche 27/08/2026).
BOTECH,BOTECH,,,https://www.charika.ma/societe-botec-504486,oui,2026-08-27,"[NOM COMPLETE DEPUIS LA LISTE DES CONCURRENTS DU PV] Nom confirme tel quel (lots 01 et 02). Le rapprochement avec 'BOTEC' du registre est donc ECARTE. RAPPROCHEMENT FAIBLE : 'BOTEC' (genie civil, travaux industriels, location de materiel) existe au registre, mais l'orthographe differe d'une lettre. NE PAS rattacher sans le PDF."
BOUFATHE TRAVAUX,Ste BOUFATHE TRAVAUX SARL,,,,oui,2026-08-27,[NOM COMPLETE DEPUIS LA LISTE DES CONCURRENTS DU PV] NON TROUVEE (recherche 27/08/2026).
BOURAF TRAVAUX SARL DR IKISS IKNIOUNE TINGHIR,BOURAF TRAVAUX,BOURAF TRAVAUX SARL,Tinghir,https://www.charika.ma/societe-bouraf-travaux-925199,a_verifier,2026-08-27,"[NOM CORRIGE -> 'BOURAF TRAVAUX SARL' — adresse (Dr Ikiss, Iknioune, Tinghir) collee au nom. Valeur verifiee comme litteralement presente dans le texte OCR du corpus ; le libelle d'origine reste dans Award.concurrent_retenu_brut.] VILLE CORROBOREE : le nom extrait contient l'adresse 'DR IKISS IKNIOUNE TINGHIR' et la fiche CHARIKA 925199 situe l'entreprise a Tinghir. Le nom en base est contamine par l'adresse."
BRAIN MANAGEMENT,"BRAIN MANAGEMENT (conseil RH, interim, recrutement, formation)",,Casablanca,https://www.charika.ma/societe-brain-management-172328,a_verifier,2026-08-27,"63 bd Anfa, rue Washington, Residence Al-Said, Casablanca. Creee en 2006, ~66 salaries. Travail temporaire, recrutement, formation, externalisation."
BRAYOU TRAVAUX,Groupement BRAYOU TRAVAUX / ELMAAANAOUI TRAVAUX,,,,oui,2026-08-27,"[NOM COMPLETE DEPUIS LA LISTE DES CONCURRENTS DU PV] Le PV donne le second membre du groupement, absent du nom en base. NON TROUVEE. Extrait du brut 'Groupement BRAYOU TRAVAUX / 7720 504,80 ELMAAANAOUI TRAVAUX' — groupement avec ELMAAANAOUI TRAVAUX, non identifie non plus."
BRICO FIRST SERVICES,"BRICO FIRST SERVICES SARL (travaux de construction, negoce)",,Agadir,https://www.charika.ma/societe-brico-first-services-770879,a_verifier,2026-08-27,"Lot 3, Imm. 14 Dar Saada, Agadir-Ida Ou Tanane. SARL, capital 600 000 DH, RC 35689, ICE 001981901000081. Import-export, travaux de construction, promotion."
BUREAU MAROCAIN DES ETUDES ET EXPERTISES BMEE,BMEE — Bureau Marocain des Etudes et Expertises,,Agadir,https://www.charika.ma/societe-bureau-marocain-des-etudes-et-expertises-500876,a_verifier,2026-08-27,"4 bd Hassan 1er, Imm. El Fida, Cite Dakhla, Agadir. SARL creee en 2017, RC 34215 Agadir. Assainissement, hydraulique, topographie, lotissement. Egalement reference sur leeds.ma comme fournisseur de marches publics."
BUREAU VERITAS,"BUREAU VERITAS MAROC SA (inspection, controle, certification)",,Casablanca,https://www.charika.ma/societe-bureau-veritas-maroc-145250,a_verifier,2026-08-27,"Al Afak, Hay Sidi Maarouf, Casablanca. SA creee en 2004, capital 300 000 DH, 50-99 salaries, RC 132333. Filiale du groupe francais Bureau Veritas (6,47 Mds EUR de CA, 82 000 salaries). Controle de conformite en construction, industrie, immobilier ; certification et formation."
BUSINESS HELP,"BUSINESS HELP (comptabilite, audit, ingenierie financiere)",,,https://www.charika.ma/societe-business-help-431211,a_verifier,2026-08-27,"Comptabilite, audit, travaux contractuels, ingenierie financiere, assistance en verification fiscale et contentieux, assistance informatique, etudes de projets."
CENTRALE MAROCAINE D ASSURANCES,MCMA — Mutuelle Centrale Marocaine d'Assurances,,Casablanca,https://www.alapage.ma/fiche/4138940-Mutuelle-Centrale-Marocaine-d-Assurances.html,oui,2026-08-27,"[CONFIRME DANS LE PV — le doc 332db69283a3 ecrit en toutes lettres 'MUTUELLE CENTRALE MAROCAINE D'ASSURANCES (MCMA)' dans la liste des concurrents. A noter : SAJI ASSURANCE, autre entreprise du corpus, figure comme concurrent sur le MEME marche.] 38 rue Omar Slaoui, Casablanca. Fondee en 1969, groupe MAMDA-MCMA. Mutuelle, pas une SARL — la forme juridique differe du reste du corpus."
CHAFIQ BUSINESS,STE CHAFIQ BUSINESS SARL,,,,oui,2026-08-27,[NOM COMPLETE DEPUIS LA LISTE DES CONCURRENTS DU PV] NON TROUVEE. 'CHAFIQ FAMILY' existe au registre (textile) mais rien ne permet de l'y rattacher.
CHRONOTECH,"CHRONOTECH (infrastructure informatique, cybersecurite)",,Casablanca,https://www.charika.ma/societe-chrono-tech-276769,a_verifier,2026-08-27,"chronotech.ma. Infrastructure IT, support technique, cloud, cybersecurite, reseaux et telecoms."
CITETRA,"Ste CITETRA SARL, Douar Talha Ct Tamda Noumercid, Azilal",,,,oui,2026-08-27,[NOM COMPLETE DEPUIS LA LISTE DES CONCURRENTS DU PV] Le PV donne l'adresse complete. NON TROUVEE. Extrait du brut '- STE CITETRA SARL DOUAR TALHA CT TAMDA NOUMERCID AZILAL' — region d'Azilal.
CLEAN TECH,CLEAN TECH MAROC,,,,oui,2026-08-27,"[NOM COMPLETE DEPUIS LA LISTE DES CONCURRENTS DU PV] Le PV ecrit 'CLEAN TECH MAROC' — le nom exact leve l'ambiguite avec les nombreuses societes en 'CLEAN' du registre. AMBIGU. Aucune fiche 'CLEAN TECH' exacte ; le registre marocain compte de tres nombreuses societes de nettoyage en 'CLEAN' (CLEAN CORPORATE MAROC, CLEAN MAROC SERVICES, CLEAN PRO SERVICES, MAITRE CLEAN...). NE PAS rattacher."
CONVENTION,,,,,non,2026-08-27,"BRUIT D'EXTRACTION (audit manuel du 27/08/2026) — aucune entreprise derriere ce libelle, donc rien a chercher. Mot du gabarit administratif."
COOPERATIYE BOUJDOUR NADIFA,COOPERATIVE BOUJDOUR NADIFA,,Boujdour,,oui,2026-08-27,"[NOM COMPLETE DEPUIS LA LISTE DES CONCURRENTS DU PV] Le PV confirme l'orthographe : une COOPERATIVE, ce qui explique son absence des registres de societes commerciales. NON TROUVEE. 'COOPERATIYE' est une lecture OCR de 'COOPERATIVE' — une COOPERATIVE, pas une societe commerciale, ce qui explique son absence des registres d'entreprises. Le registre des cooperatives (coop.ma) n'est pas interrogeable par cette recherche."
COSA INFO,STE COSA INFO SARL (mobilier de bureau),,Beni Mellal,https://www.telecontact.ma/annonceur/cosa-info/3230665/beni-mellal.php,a_verifier,2026-08-27,"CORROBORATION PAR L'ADRESSE, la plus forte obtenue sans rouvrir un PDF : le texte BRUT extrait du PV dit '-STE COSA INFO SARL 153 BD MOTANABI BENI MELLAL', et le registre donne '153 boulevard AlMoutanabi, Beni Mellal'. Meme numero, meme rue, meme ville. Creee en 2006, capital 100 000 DH, RC 2291 Beni Mellal, ICE 001518557000085. Gerante : Chair Samira."
COSTACOM,COSTACOM (production audiovisuelle / evenementiel),,Maroc,https://www.zoominfo.com/c/costacom/1335148516,a_verifier,2026-08-27,"COHERENT : marche remporte = 'Organisation d'un evenement de la rentree economique' (CRI Souss-Massa, 41 189 000 DH). Activite audiovisuel/evenementiel concordante."
CU LIG,,,,,non,2026-08-27,"BRUIT D'EXTRACTION (audit manuel du 27/08/2026) — aucune entreprise derriere ce libelle, donc rien a chercher. Fragment OCR indechiffrable."
DABALAB,"DABALAB SARL (nettoyage, jardinage, entretien d'espaces verts)",,Marrakech,https://www.bt-africa.com/en/company/NTM3NTA-dabalab,a_verifier,2026-08-27,"Zenith Business Center, Bab Doukkala, Marrakech. RC 127791, ICE 003119837000074. Dirigeant : Issam Hmimas. dabalab.ma."
DANY D ESSAIS ET ETUDES,STE DANY D'ESSAIS ET ETUDES (laboratoire d'essais et etudes),,,https://www.bt-africa.com/fr/entreprise/69baacc5cb6255ed95e59a1209cccf67-ste-dany-d-essais-et-etudes,a_verifier,2026-08-27,"RC 42635, secteur etudes techniques. COHERENT avec un marche de laboratoire/essais. NE PAS confondre avec le LPEE (Laboratoire Public d'Essais et d'Etudes), etablissement public distinct."
DEMAIN VERT,"DEMAIN VERT (jardinage, amenagement d'espaces verts)",,,https://www.charika.ma/societe-demain-vert-348230,a_verifier,2026-08-27,"Jardinage, amenagement d'espaces verts, travaux de plantation, transport de marchandises pour autrui."
DESIGRRE,,,,,non,2026-08-27,[BRUIT CONFIRME PAR LE PV — le PV ecrit 'Attributaire desigrre par tirage au sort' — lecture de 'designe'.] NON RECHERCHEE — quota de recherche web de la session epuise (200/200) le 27/08/2026. A REPRENDRE EN PRIORITE : un nom reel est vraisemblablement present. Probable lecture OCR de 'DESIGNRE' ou 'DESIGN'.
DIRNAMS,,,,,non,2026-08-27,"[BRUIT CONFIRME PAR LE PV — le PV ecrit 'six Dirnams toutes taxes comprises' — lecture de 'dirhams'.] BRUIT D'EXTRACTION (audit manuel du 27/08/2026) — aucune entreprise derriere ce libelle, donc rien a chercher. Lecture OCR probable de 'DIRHAMS'."
DRAEMEN,STE DRAEMEN SARL AU,,,,oui,2026-08-27,[NOM COMPLETE DEPUIS LA LISTE DES CONCURRENTS DU PV] NON TROUVEE. 'DRAMIN' existe au registre mais l'orthographe differe.
DUR6E MAX DE 3 NN6E S RESP RESEAUX ET STATION DE POMPAGE,,,,,non,2026-08-27,"[BRUIT CONFIRME PAR LE PV — le PV ecrit 'RESP (RESEAUX ET STATION DE POMPAGE)' — intitule de lot.] BRUIT D'EXTRACTION (audit manuel du 27/08/2026) — aucune entreprise derriere ce libelle, donc rien a chercher. Fragment de clause de duree du marche."
DUREE MAX,,,,,non,2026-08-27,"[BRUIT CONFIRME PAR LE PV — le PV ecrit 'une duree max. de 5' — clause de duree du marche.] BRUIT D'EXTRACTION (audit manuel du 27/08/2026) — aucune entreprise derriere ce libelle, donc rien a chercher. Fragment de clause de duree."
ECLANOUR,SOCIETE ECLANOUR SARL,,,,oui,2026-08-27,"Cle issue de la CORRECTION appliquee au libelle illisible LOACFE DTENETEEMENT LA SOCIETE ECLANOUR SARL JUSTIFICATIONDUCHOIXDEL. Le PV ecrit ""Montant de loacfe ,.,dteneteement La societe ECLANOUR SARL"" — la partie lisible est bien ""La societe ECLANOUR SARL"", le reste est une lecture degradee de ""Montant de l acte d engagement"". Nom confirme par le document ; aucune fiche ECLANOUR au registre marocain, l existence de l entreprise hors de ce PV n est donc pas etablie."
EI GAGEMENT PREMIUM TELECOM CUSTOMER SERVICES,PREMIUM TELECOM & CUSTOMER SERVICES,PREMIUM TELECOM & Customer Services,,https://www.charika.ma/societe-premium-telecom-customer-services-291399,a_verifier,2026-08-27,"[NOM CORRIGE -> 'PREMIUM TELECOM & Customer Services' — 'EI GAGEMENT' = lecture OCR de ""l'acte d'ENGAGEMENT"", collee devant. Valeur verifiee comme litteralement presente dans le texte OCR du corpus ; le libelle d'origine reste dans Award.concurrent_retenu_brut.] Nom du registre IDENTIQUE a la partie utile du nom extrait. 'EI GAGEMENT' est un residu d'OCR de ""l'acte d'ENGAGEMENT"" (en-tete de colonne) reste colle devant. Formation, conseil, integration et commercialisation de solutions informatiques et telecoms, maintenance de materiel."
